id,quarter,quarter_qf,hb,hbqf,specialty_name,specialty_name_qf,all_staffed_beddays,total_occupied_beddays,average_available_staffed_beds,average_occupied_beds,percentage_occupancy,quarter_date,year_quarter,year,season,covid
6,Q1,NA,S08000015,NA,Accident & Emergency,NA,216,216,2.4,2.4,100,2018-03-31,2018 Q1,2018,winter,FALSE
9,Q2,NA,S08000015,NA,Accident & Emergency,NA,254,254,2.791208791208791,2.791208791208791,100,2018-06-30,2018 Q2,2018,summer,FALSE
12,Q3,NA,S08000015,NA,Accident & Emergency,NA,220,220,2.391304347826087,2.391304347826087,100,2018-09-30,2018 Q3,2018,summer,FALSE
15,Q4,NA,S08000015,NA,Accident & Emergency,NA,262,262,2.847826086956522,2.847826086956522,100,2018-12-31,2018 Q4,2018,winter,FALSE
18,Q1,NA,S08000015,NA,Accident & Emergency,NA,278,278,3.088888888888889,3.088888888888889,100,2019-03-31,2019 Q1,2019,winter,FALSE
21,Q2,NA,S08000015,NA,Accident & Emergency,NA,159,159,1.7472527472527473,1.7472527472527473,100,2019-06-30,2019 Q2,2019,summer,FALSE
24,Q3,NA,S08000015,NA,Accident & Emergency,NA,126,126,1.3695652173913044,1.3695652173913044,100,2019-09-30,2019 Q3,2019,summer,FALSE
27,Q4,NA,S08000015,NA,Accident & Emergency,NA,101,101,1.0978260869565215,1.0978260869565215,100,2019-12-31,2019 Q4,2019,winter,FALSE
31,Q1,NA,S08000015,NA,Accident & Emergency,NA,49,49,0.5384615384615384,0.5384615384615384,100,2020-03-31,2020 Q1,2020,winter,TRUE
34,Q2,NA,S08000015,NA,Accident & Emergency,NA,56,56,0.6153846153846154,0.6153846153846154,100,2020-06-30,2020 Q2,2020,summer,TRUE
37,Q3,NA,S08000015,NA,Accident & Emergency,NA,49,49,0.532608695652174,0.532608695652174,100,2020-09-30,2020 Q3,2020,summer,TRUE
40,Q4,NA,S08000015,NA,Accident & Emergency,NA,42,42,0.4565217391304347,0.4565217391304347,100,2020-12-31,2020 Q4,2020,winter,TRUE
43,Q1,NA,S08000015,NA,Accident & Emergency,NA,40,40,0.4444444444444444,0.4444444444444444,100,2021-03-31,2021 Q1,2021,winter,TRUE
46,Q2,NA,S08000015,NA,Accident & Emergency,NA,42,42,0.4615384615384616,0.4615384615384616,100,2021-06-30,2021 Q2,2021,summer,TRUE
49,Q3,NA,S08000015,NA,Accident & Emergency,NA,62,62,0.6739130434782609,0.6739130434782609,100,2021-09-30,2021 Q3,2021,summer,TRUE
51,Q4,NA,S08000015,NA,Accident & Emergency,NA,28,28,0.30434782608695654,0.30434782608695654,100,2021-12-31,2021 Q4,2021,winter,TRUE
53,Q1,NA,S08000015,NA,Accident & Emergency,NA,18,18,0.2,0.2,100,2022-03-31,2022 Q1,2022,winter,TRUE
56,Q2,NA,S08000015,NA,Accident & Emergency,NA,34,34,0.3736263736263736,0.3736263736263736,100,2022-06-30,2022 Q2,2022,summer,TRUE
59,Q3,NA,S08000015,NA,Accident & Emergency,NA,23,23,0.25,0.25,100,2022-09-30,2022 Q3,2022,summer,TRUE
62,Q4,p,S08000015,NA,Accident & Emergency,NA,14,14,0.15217391304347827,0.15217391304347827,100,2022-12-31,2022 Q4,2022,winter,TRUE
68,Q1,NA,S08000015,NA,All Acute,d,97321,89818,1081.3444444444444,997.9777777777778,92.29046146258258,2018-03-31,2018 Q1,2018,winter,FALSE
71,Q2,NA,S08000015,NA,All Acute,d,90737,83870,997.10989010989,921.6483516483516,92.43197372626382,2018-06-30,2018 Q2,2018,summer,FALSE
74,Q3,NA,S08000015,NA,All Acute,d,86024,79863,935.0434782608696,868.0760869565217,92.8380451966893,2018-09-30,2018 Q3,2018,summer,FALSE
77,Q4,NA,S08000015,NA,All Acute,d,85405,79521,928.3152173913044,864.3586956521739,93.11047362566592,2018-12-31,2018 Q4,2018,winter,FALSE
80,Q1,NA,S08000015,NA,All Acute,d,85491,81775,949.9,908.6111111111112,95.65334362681452,2019-03-31,2019 Q1,2019,winter,FALSE
83,Q2,NA,S08000015,NA,All Acute,d,84452,79924,928.043956043956,878.2857142857143,94.63837446123242,2019-06-30,2019 Q2,2019,summer,FALSE
86,Q3,NA,S08000015,NA,All Acute,d,85118,80009,925.195652173913,869.6630434782609,93.99774430790198,2019-09-30,2019 Q3,2019,summer,FALSE
89,Q4,NA,S08000015,NA,All Acute,d,86469,81597,939.8804347826087,886.9239130434783,94.365610796933,2019-12-31,2019 Q4,2019,winter,FALSE
92,Q1,NA,S08000015,NA,All Acute,d,87439,79602,960.868131868132,874.7472527472528,91.03718020562908,2020-03-31,2020 Q1,2020,winter,TRUE
95,Q2,NA,S08000015,NA,All Acute,d,79260,58335,870.989010989011,641.0439560439561,73.5995457986374,2020-06-30,2020 Q2,2020,summer,TRUE
98,Q3,NA,S08000015,NA,All Acute,d,81232,72179,882.9565217391304,784.554347826087,88.85537719125469,2020-09-30,2020 Q3,2020,summer,TRUE
101,Q4,NA,S08000015,NA,All Acute,d,88117,77380,957.7934782608696,841.0869565217391,87.81506406255319,2020-12-31,2020 Q4,2020,winter,TRUE
104,Q1,NA,S08000015,NA,All Acute,d,86788,76215,964.3111111111112,846.8333333333334,87.81744019910587,2021-03-31,2021 Q1,2021,winter,TRUE
107,Q2,NA,S08000015,NA,All Acute,d,86764,77846,953.4505494505496,855.4505494505495,89.72154349730303,2021-06-30,2021 Q2,2021,summer,TRUE
110,Q3,NA,S08000015,NA,All Acute,d,90100,82594,979.3478260869564,897.7608695652174,91.669256381798,2021-09-30,2021 Q3,2021,summer,TRUE
113,Q4,NA,S08000015,NA,All Acute,d,93750,85593,1019.0217391304348,930.358695652174,91.2992,2021-12-31,2021 Q4,2021,winter,TRUE
116,Q1,NA,S08000015,NA,All Acute,d,93600,86008,1040,955.6444444444444,91.88888888888889,2022-03-31,2022 Q1,2022,winter,TRUE
119,Q2,NA,S08000015,NA,All Acute,d,93587,87188,1028.428571428571,958.10989010989,93.1625118873348,2022-06-30,2022 Q2,2022,summer,TRUE
122,Q3,NA,S08000015,NA,All Acute,d,94928,88033,1031.8260869565215,956.8804347826087,92.73660037080737,2022-09-30,2022 Q3,2022,summer,TRUE
125,Q4,p,S08000015,NA,All Acute,d,96172,91093,1045.3478260869565,990.141304347826,94.71883708355864,2022-12-31,2022 Q4,2022,winter,TRUE
133,Q1,NA,S08000015,NA,All Specialties,d,141280,123755,1569.7777777777778,1375.0555555555557,87.59555492638732,2018-03-31,2018 Q1,2018,winter,FALSE
137,Q2,NA,S08000015,NA,All Specialties,d,135049,117682,1484.0549450549452,1293.2087912087911,87.1402231782538,2018-06-30,2018 Q2,2018,summer,FALSE
141,Q3,NA,S08000015,NA,All Specialties,d,129342,111857,1405.891304347826,1215.8369565217392,86.48157597686755,2018-09-30,2018 Q3,2018,summer,FALSE
145,Q4,NA,S08000015,NA,All Specialties,d,128415,112404,1395.8152173913045,1221.7826086956522,87.53183039364562,2018-12-31,2018 Q4,2018,winter,FALSE
149,Q1,NA,S08000015,NA,All Specialties,d,127225,113176,1413.611111111111,1257.5111111111112,88.95735900962862,2019-03-31,2019 Q1,2019,winter,FALSE
153,Q2,NA,S08000015,NA,All Specialties,d,125097,111417,1374.6923076923076,1224.362637362637,89.0644859588959,2019-06-30,2019 Q2,2019,summer,FALSE
157,Q3,NA,S08000015,NA,All Specialties,d,125044,112458,1359.1739130434785,1222.3695652173913,89.93474297047439,2019-09-30,2019 Q3,2019,summer,FALSE
161,Q4,NA,S08000015,NA,All Specialties,d,127096,113932,1381.4782608695652,1238.391304347826,89.64247497954302,2019-12-31,2019 Q4,2019,winter,FALSE
165,Q1,NA,S08000015,NA,All Specialties,d,128273,109791,1409.5934065934066,1206.4945054945056,85.59166777108199,2020-03-31,2020 Q1,2020,winter,TRUE
169,Q2,NA,S08000015,NA,All Specialties,d,118227,83771,1299.1978021978025,920.5604395604396,70.8560650274472,2020-06-30,2020 Q2,2020,summer,TRUE
173,Q3,NA,S08000015,NA,All Specialties,d,119063,99464,1294.1630434782608,1081.1304347826087,83.53896676549391,2020-09-30,2020 Q3,2020,summer,TRUE
177,Q4,NA,S08000015,NA,All Specialties,d,125897,104624,1368.445652173913,1137.2173913043478,83.10285392026815,2020-12-31,2020 Q4,2020,winter,TRUE
181,Q1,NA,S08000015,NA,All Specialties,d,123289,101388,1369.8777777777775,1126.5333333333333,82.23604701149331,2021-03-31,2021 Q1,2021,winter,TRUE
185,Q2,NA,S08000015,NA,All Specialties,d,123646,104055,1358.7472527472528,1143.4615384615386,84.15557316856187,2021-06-30,2021 Q2,2021,summer,TRUE
189,Q3,NA,S08000015,NA,All Specialties,d,127247,109918,1383.1195652173913,1194.7608695652175,86.38160428143689,2021-09-30,2021 Q3,2021,summer,TRUE
193,Q4,NA,S08000015,NA,All Specialties,d,131062,113671,1424.5869565217392,1235.554347826087,86.73070760403473,2021-12-31,2021 Q4,2021,winter,TRUE
197,Q1,NA,S08000015,NA,All Specialties,d,130817,114083,1453.522222222222,1267.588888888889,87.20808457616366,2022-03-31,2022 Q1,2022,winter,TRUE
201,Q2,NA,S08000015,NA,All Specialties,d,131067,115934,1440.2967032967033,1274,88.45399681079142,2022-06-30,2022 Q2,2022,summer,TRUE
205,Q3,NA,S08000015,NA,All Specialties,d,132842,117461,1443.9347826086955,1276.75,88.42158353532767,2022-09-30,2022 Q3,2022,summer,TRUE
209,Q4,p,S08000015,NA,All Specialties,d,133805,120442,1454.4021739130435,1309.1521739130435,90.01307873397855,2022-12-31,2022 Q4,2022,winter,TRUE
215,Q1,NA,S08000015,NA,Anaesthetics,NA,917,681,10.188888888888888,7.566666666666666,74.2639040348964,2018-03-31,2018 Q1,2018,winter,FALSE
218,Q2,NA,S08000015,NA,Anaesthetics,NA,884,517,9.714285714285714,5.681318681318682,58.4841628959276,2018-06-30,2018 Q2,2018,summer,FALSE
221,Q3,NA,S08000015,NA,Anaesthetics,NA,14,11,0.15217391304347827,0.11956521739130437,78.57142857142857,2018-09-30,2018 Q3,2018,summer,FALSE
224,Q4,NA,S08000015,NA,Anaesthetics,NA,4,4,0.04347826086956521,0.04347826086956521,100,2018-12-31,2018 Q4,2018,winter,FALSE
227,Q1,NA,S08000015,NA,Anaesthetics,NA,4,4,0.04444444444444444,0.04444444444444444,100,2019-03-31,2019 Q1,2019,winter,FALSE
230,Q2,NA,S08000015,NA,Anaesthetics,NA,2,2,0.02197802197802198,0.02197802197802198,100,2019-06-30,2019 Q2,2019,summer,FALSE
233,Q3,NA,S08000015,NA,Anaesthetics,NA,2,2,0.0217391304347826,0.0217391304347826,100,2019-09-30,2019 Q3,2019,summer,FALSE
235,Q1,NA,S08000015,NA,Anaesthetics,NA,3,3,0.03296703296703297,0.03296703296703297,100,2020-03-31,2020 Q1,2020,winter,TRUE
237,Q3,NA,S08000015,NA,Anaesthetics,NA,2,2,0.0217391304347826,0.0217391304347826,100,2020-09-30,2020 Q3,2020,summer,TRUE
239,Q4,NA,S08000015,NA,Anaesthetics,NA,1,1,0.0108695652173913,0.0108695652173913,100,2021-12-31,2021 Q4,2021,winter,TRUE
241,Q2,NA,S08000015,NA,Anaesthetics,NA,1,1,0.01098901098901099,0.01098901098901099,100,2022-06-30,2022 Q2,2022,summer,TRUE
243,Q4,p,S08000015,NA,Anaesthetics,NA,1,1,0.0108695652173913,0.0108695652173913,100,2022-12-31,2022 Q4,2022,winter,TRUE
249,Q1,NA,S08000015,NA,Cardiology,NA,1661,1535,18.455555555555556,17.055555555555557,92.41420830824804,2018-03-31,2018 Q1,2018,winter,FALSE
252,Q2,NA,S08000015,NA,Cardiology,NA,1790,1532,19.67032967032967,16.835164835164836,85.58659217877094,2018-06-30,2018 Q2,2018,summer,FALSE
255,Q3,NA,S08000015,NA,Cardiology,NA,1751,1588,19.032608695652176,17.26086956521739,90.6910336950314,2018-09-30,2018 Q3,2018,summer,FALSE
258,Q4,NA,S08000015,NA,Cardiology,NA,1732,1568,18.82608695652174,17.043478260869566,90.53117782909932,2018-12-31,2018 Q4,2018,winter,FALSE
261,Q1,NA,S08000015,NA,Cardiology,NA,1727,1606,19.18888888888889,17.844444444444445,92.9936305732484,2019-03-31,2019 Q1,2019,winter,FALSE
264,Q2,NA,S08000015,NA,Cardiology,NA,1721,1586,18.912087912087912,17.428571428571427,92.15572341661824,2019-06-30,2019 Q2,2019,summer,FALSE
267,Q3,NA,S08000015,NA,Cardiology,NA,1745,1595,18.967391304347824,17.33695652173913,91.40401146131806,2019-09-30,2019 Q3,2019,summer,FALSE
270,Q4,NA,S08000015,NA,Cardiology,NA,1709,1577,18.57608695652174,17.141304347826086,92.2761849034523,2019-12-31,2019 Q4,2019,winter,FALSE
273,Q1,NA,S08000015,NA,Cardiology,NA,1645,1487,18.076923076923077,16.34065934065934,90.39513677811549,2020-03-31,2020 Q1,2020,winter,TRUE
276,Q2,NA,S08000015,NA,Cardiology,NA,1529,882,16.802197802197803,9.692307692307692,57.68476128188358,2020-06-30,2020 Q2,2020,summer,TRUE
279,Q3,NA,S08000015,NA,Cardiology,NA,1409,1260,15.315217391304348,13.695652173913045,89.42512420156139,2020-09-30,2020 Q3,2020,summer,TRUE
282,Q4,NA,S08000015,NA,Cardiology,NA,1132,1054,12.304347826086955,11.456521739130435,93.1095406360424,2020-12-31,2020 Q4,2020,winter,TRUE
285,Q1,NA,S08000015,NA,Cardiology,NA,985,870,10.944444444444445,9.666666666666666,88.3248730964467,2021-03-31,2021 Q1,2021,winter,TRUE
288,Q2,NA,S08000015,NA,Cardiology,NA,1064,958,11.692307692307692,10.527472527472527,90.0375939849624,2021-06-30,2021 Q2,2021,summer,TRUE
291,Q3,NA,S08000015,NA,Cardiology,NA,1018,902,11.065217391304348,9.804347826086955,88.60510805500982,2021-09-30,2021 Q3,2021,summer,TRUE
294,Q4,NA,S08000015,NA,Cardiology,NA,961,834,10.445652173913045,9.065217391304348,86.78459937565036,2021-12-31,2021 Q4,2021,winter,TRUE
297,Q1,NA,S08000015,NA,Cardiology,NA,984,891,10.933333333333334,9.9,90.54878048780488,2022-03-31,2022 Q1,2022,winter,TRUE
300,Q2,NA,S08000015,NA,Cardiology,NA,1216,1105,13.362637362637363,12.142857142857142,90.87171052631578,2022-06-30,2022 Q2,2022,summer,TRUE
303,Q3,NA,S08000015,NA,Cardiology,NA,1083,971,11.771739130434783,10.554347826086955,89.65835641735919,2022-09-30,2022 Q3,2022,summer,TRUE
306,Q4,p,S08000015,NA,Cardiology,NA,1029,904,11.184782608695652,9.826086956521738,87.85228377065111,2022-12-31,2022 Q4,2022,winter,TRUE
308,Q1,NA,S08000015,NA,Clinical Oncology,NA,1,1,0.01111111111111111,0.01111111111111111,100,2018-03-31,2018 Q1,2018,winter,FALSE
312,Q2,NA,S08000015,NA,Clinical Radiology,NA,2,2,0.02197802197802198,0.02197802197802198,100,2018-06-30,2018 Q2,2018,summer,FALSE
314,Q1,NA,S08000015,NA,Clinical Radiology,NA,1,1,0.01111111111111111,0.01111111111111111,100,2019-03-31,2019 Q1,2019,winter,FALSE
316,Q3,NA,S08000015,NA,Clinical Radiology,NA,2,2,0.0217391304347826,0.0217391304347826,100,2019-09-30,2019 Q3,2019,summer,FALSE
318,Q4,p,S08000015,NA,Clinical Radiology,NA,3,3,0.03260869565217391,0.03260869565217391,100,2022-12-31,2022 Q4,2022,winter,TRUE
320,Q1,NA,S08000015,NA,Community Dental Practice,NA,1,1,0.01111111111111111,0.01111111111111111,100,2018-03-31,2018 Q1,2018,winter,FALSE
322,Q2,NA,S08000015,NA,Community Dental Practice,NA,2,2,0.02197802197802198,0.02197802197802198,100,2019-06-30,2019 Q2,2019,summer,FALSE
