year_quarter,year,hb,admission_type,simd,stays,average_length_of_stay,winter,post_covid
2018 Q1,2018,S08000015,Elective Inpatients,1,230,3.26086956521739,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,1,245,3.57142857142857,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,1,215,3.81860465116279,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,1,215,3.08837209302326,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,1,215,3.46976744186047,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,1,225,2.84444444444444,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,1,204,3.76960784313725,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,1,200,2.87,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,1,200,2.885,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,1,65,5.38461538461539,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,1,100,3.69,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,1,140,3.55714285714286,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,1,70,4.91428571428571,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,1,165,3.62424242424242,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,1,125,3.984,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,1,125,3.624,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,1,115,3.33913043478261,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,1,120,4.70833333333333,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,1,180,3.11666666666667,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,1,165,3.78787878787879,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,2,170,4.48235294117647,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,2,195,3.18974358974359,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,2,175,4.50285714285714,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,2,180,3.98888888888889,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,2,222,3.05405405405405,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,2,188,3.25,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,2,165,3.65454545454545,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,2,190,3.97368421052632,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,2,135,3.77037037037037,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,2,26,3.07692307692308,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,2,100,5.55,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,2,100,3.24,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,2,90,6.45555555555556,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,2,125,3.424,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,2,100,4.88,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,2,125,3.712,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,2,100,4.91,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,2,130,3.31538461538462,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,2,135,5.21481481481482,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,2,130,3.33076923076923,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,3,135,5.52592592592593,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,3,115,2.33913043478261,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,3,125,4.136,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,3,140,2.65,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,3,150,3.24666666666667,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,3,145,3.75172413793103,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,3,134,3.7910447761194,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,3,116,3.38793103448276,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,3,105,6.06666666666667,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,3,25,3.2,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,3,71,3.38028169014085,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,3,70,3.08571428571429,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,3,50,2.68,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,3,80,2.45,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,3,70,3.55714285714286,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,3,70,5.38571428571429,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,3,75,5.16,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,3,90,3.93333333333333,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,3,105,4.02857142857143,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,3,105,4.92380952380952,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,4,100,4.26,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,4,105,3,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,4,110,3.13636363636364,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,4,110,3.58181818181818,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,4,119,2.34453781512605,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,4,114,3.70175438596491,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,4,110,4.54545454545455,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,4,100,4.3,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,4,80,2.9125,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,4,25,3.72,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,4,44,3.52272727272727,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,4,65,5.13846153846154,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,4,35,5.45714285714286,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,4,75,3.14666666666667,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,4,66,3.39393939393939,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,4,63,3.80952380952381,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,4,51,3.29411764705882,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,4,80,3.575,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,4,70,4.2,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,4,105,5.57142857142857,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,5,70,4.54285714285714,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,5,60,4.36666666666667,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,5,65,4.30769230769231,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,5,79,3.15189873417722,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,5,90,2.75555555555556,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,5,95,2.83157894736842,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,5,70,3.64285714285714,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,5,65,6.2,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,5,65,2.4,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,5,15,2.8,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,5,40,3.475,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,5,35,4.68571428571429,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,5,35,3.91428571428571,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,5,50,3.56,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,5,44,4.15909090909091,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,5,30,3.56666666666667,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,5,30,4.23333333333333,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,5,48,2.4375,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,5,63,4,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,5,50,3.38,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,1,677,3.41949778434269,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,1,751,3.86950732356858,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,1,673,3.49479940564636,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,1,695,3.20287769784173,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,1,670,3.61194029850746,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,1,658,3.32978723404255,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,1,613,3.54649265905383,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,1,605,3.77355371900826,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,1,564,3.48581560283688,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,1,184,4.72282608695652,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,1,368,4.10054347826087,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,1,351,4.09116809116809,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,1,272,4.68014705882353,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,1,420,3.8047619047619,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,1,375,6.00533333333333,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,1,399,4.00250626566416,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,1,360,4.09722222222222,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,1,386,5.06217616580311,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,1,508,4.11811023622047,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,1,487,4.08418891170431,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,2,504,3.7281746031746,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,2,552,3.75724637681159,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,2,534,3.89138576779026,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,2,519,4.3140655105973,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,2,573,3.80628272251309,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,2,537,3.487895716946,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,2,530,3.51698113207547,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,2,523,4.79541108986616,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,2,473,3.57505285412262,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,2,135,3.87407407407407,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,2,315,5.08253968253968,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,2,311,3.84887459807074,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,2,257,4.98832684824903,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,2,361,3.95013850415512,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,2,297,4.78451178451178,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,2,317,4.05678233438486,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,2,263,4.45627376425856,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,2,328,4.03963414634146,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,2,370,3.81621621621622,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,2,389,3.77892030848329,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,3,438,4.24885844748858,TRUE,FALSE
