"","month","country","hbt","treatment_location","department_type","number_of_attendances_all","number_within4hours_all","number_over4hours_all","percentage_within4hours_all","number_of_attendances_episode","number_within4hours_episode","number_over4hours_episode","percentage_within4hours_episode","percentage_within4hours_episode_qf","number_over8hours_episode","percentage_over8hours_episode","number_over12hours_episode","number_over12hours_episode_qf","percentage_over12hours_episode","percentage_over12hours_episode_qf","date","health_board","year_quarter","year","quarter","winter","post_covid","q_percent_within_4_hours","q_percent_over_4_hours","q_percent_above_8_hours","q_percent_above_12_hours","hb_name","hb"
"1",201801,"S92000003","S08000015","A101H","Minor Injury Unit or Other",182,180,2,98.9,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,98.9010989010989,1.0989010989011,NA,NA,"Ayrshire and Arran","S08000015"
"2",201801,"S92000003","S08000015","A110H","Minor Injury Unit or Other",46,45,1,97.8,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,97.8260869565217,2.17391304347826,NA,NA,"Ayrshire and Arran","S08000015"
"3",201801,"S92000003","S08000015","A111H","Emergency Department",5422,4787,635,88.3,5422,4787,635,88.3,NA,232,4.3,66,NA,1.2,NA,2018-01-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,88.2884544448543,11.7115455551457,4.27886388786426,1.21726300258207,"Ayrshire and Arran","S08000015"
"4",201801,"S92000003","S08000015","A210H","Emergency Department",2840,2459,381,86.6,2840,2459,381,86.6,NA,151,5.3,58,NA,2,NA,2018-01-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,86.5845070422535,13.4154929577465,5.3169014084507,2.04225352112676,"Ayrshire and Arran","S08000015"
"5",201801,"S92000003","S08000015","A216H","Minor Injury Unit or Other",73,73,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Ayrshire and Arran","S08000015"
"6",201801,"S92000003","S08000016","B103H","Minor Injury Unit or Other",7,7,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Borders","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Borders","S08000016"
"7",201801,"S92000003","S08000016","B105H","Minor Injury Unit or Other",70,70,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Borders","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Borders","S08000016"
"8",201801,"S92000003","S08000016","B114H","Minor Injury Unit or Other",11,11,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Borders","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Borders","S08000016"
"9",201801,"S92000003","S08000016","B118H","Minor Injury Unit or Other",56,56,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Borders","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Borders","S08000016"
"10",201801,"S92000003","S08000016","B120H","Emergency Department",2392,2057,335,86,2392,2057,335,86,NA,44,1.8,19,NA,0.8,NA,2018-01-01,"Borders","2018 Q1",2018,1,"Winter",FALSE,85.994983277592,14.005016722408,1.83946488294314,0.794314381270903,"Borders","S08000016"
"11",201801,"S92000003","S08000017","Y101H","Minor Injury Unit or Other",16,16,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Dumfries and Galloway","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Dumfries and Galloway","S08000017"
"12",201801,"S92000003","S08000017","Y106H","Minor Injury Unit or Other",35,35,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Dumfries and Galloway","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Dumfries and Galloway","S08000017"
"13",201801,"S92000003","S08000017","Y110H","Minor Injury Unit or Other",8,8,0,100,8,8,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Dumfries and Galloway","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Dumfries and Galloway","S08000017"
"14",201801,"S92000003","S08000017","Y144H","Emergency Department",967,875,92,90.5,967,875,92,90.5,NA,16,1.7,2,NA,0.2,NA,2018-01-01,"Dumfries and Galloway","2018 Q1",2018,1,"Winter",FALSE,90.4860392967942,9.51396070320579,1.65460186142709,0.206825232678387,"Dumfries and Galloway","S08000017"
"15",201801,"S92000003","S08000017","Y146H","Emergency Department",2686,2257,429,84,2686,2257,429,84,NA,111,4.1,8,NA,0.3,NA,2018-01-01,"Dumfries and Galloway","2018 Q1",2018,1,"Winter",FALSE,84.0282948622487,15.9717051377513,4.132539091586,0.297840655249442,"Dumfries and Galloway","S08000017"
"16",201801,"S92000003","S08000029","F704H","Emergency Department",5289,4738,551,89.6,5289,4738,551,89.6,NA,83,1.6,14,NA,0.3,NA,2018-01-01,"Fife","2018 Q1",2018,1,"Winter",FALSE,89.5821516354698,10.4178483645302,1.56929476271507,0.264700321421819,"Fife","S08000029"
"17",201801,"S92000003","S08000029","F708H","Minor Injury Unit or Other",92,92,0,100,92,92,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Fife","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Fife","S08000029"
"18",201801,"S92000003","S08000029","F709H","Minor Injury Unit or Other",213,213,0,100,213,213,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Fife","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Fife","S08000029"
"19",201801,"S92000003","S08000029","F805H","Minor Injury Unit or Other",1440,1439,1,99.9,1440,1439,1,99.9,NA,1,0.1,0,NA,0,NA,2018-01-01,"Fife","2018 Q1",2018,1,"Winter",FALSE,99.9305555555556,0.0694444444444444,0.0694444444444444,0,"Fife","S08000029"
"20",201801,"S92000003","S08000019","V201H","Minor Injury Unit or Other",1338,1337,1,99.9,1338,1337,1,99.9,NA,0,0,0,NA,0,NA,2018-01-01,"Forth Valley","2018 Q1",2018,1,"Winter",FALSE,99.9252615844544,0.0747384155455904,0,0,"Forth Valley","S08000019"
"21",201801,"S92000003","S08000019","V217H","Emergency Department",4956,3893,1063,78.6,4956,3893,1063,78.6,NA,270,5.4,89,NA,1.8,NA,2018-01-01,"Forth Valley","2018 Q1",2018,1,"Winter",FALSE,78.5512510088781,21.4487489911219,5.44794188861985,1.79580306698951,"Forth Valley","S08000019"
"22",201801,"S92000003","S08000020","N101H","Emergency Department",4812,4021,791,83.6,4812,4021,791,83.6,NA,79,1.6,10,NA,0.2,NA,2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,83.5619285120532,16.4380714879468,1.64172901080632,0.207813798836243,"Grampian","S08000020"
"23",201801,"S92000003","S08000020","N121H","Emergency Department",1158,1146,12,99,1158,1146,12,99,NA,0,0,0,NA,0,NA,2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,98.9637305699482,1.03626943005181,0,0,"Grampian","S08000020"
"24",201801,"S92000003","S08000020","N151H","Minor Injury Unit or Other",94,94,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"25",201801,"S92000003","S08000020","N331H","Minor Injury Unit or Other",9,9,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"26",201801,"S92000003","S08000020","N332H","Minor Injury Unit or Other",33,33,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"27",201801,"S92000003","S08000020","N333H","Minor Injury Unit or Other",1372,1371,1,99.9,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,99.9271137026239,0.0728862973760933,NA,NA,"Grampian","S08000020"
"28",201801,"S92000003","S08000020","N334H","Minor Injury Unit or Other",683,683,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"29",201801,"S92000003","S08000020","N335H","Minor Injury Unit or Other",242,238,4,98.3,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,98.3471074380165,1.65289256198347,NA,NA,"Grampian","S08000020"
"30",201801,"S92000003","S08000020","N336H","Minor Injury Unit or Other",103,103,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"31",201801,"S92000003","S08000020","N337H","Minor Injury Unit or Other",269,267,2,99.3,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,99.2565055762082,0.743494423791822,NA,NA,"Grampian","S08000020"
"32",201801,"S92000003","S08000020","N411H","Emergency Department",1992,1929,63,96.8,1992,1929,63,96.8,NA,5,0.3,0,NA,0,NA,2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,96.8373493975904,3.16265060240964,0.251004016064257,0,"Grampian","S08000020"
"33",201801,"S92000003","S08000020","N431H","Minor Injury Unit or Other",50,50,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"34",201801,"S92000003","S08000020","N432H","Minor Injury Unit or Other",6,6,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"35",201801,"S92000003","S08000020","N433H","Minor Injury Unit or Other",84,84,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"36",201801,"S92000003","S08000020","N451H","Minor Injury Unit or Other",7,7,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"37",201801,"S92000003","S08000020","N494H","Minor Injury Unit or Other",79,79,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"38",201801,"S92000003","S08000020","N683C","Minor Injury Unit or Other",50,50,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Grampian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Grampian","S08000020"
"39",201801,"S92000003","S08000031","C206H","Minor Injury Unit or Other",1354,1272,82,93.9,1354,1272,82,93.9,NA,8,0.6,0,NA,0,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,93.9438700147711,6.05612998522895,0.590841949778434,0,"Greater Glasgow and Clyde","S08000031"
"40",201801,"S92000003","S08000031","C313H","Emergency Department",2628,2264,364,86.1,2628,2264,364,86.1,NA,59,2.2,6,NA,0.2,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,86.1491628614916,13.8508371385084,2.24505327245053,0.228310502283105,"Greater Glasgow and Clyde","S08000031"
"41",201801,"S92000003","S08000031","C418H","Emergency Department",5449,4408,1041,80.9,5449,4408,1041,80.9,NA,260,4.8,53,NA,1,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,80.895577170123,19.104422829877,4.7715177096715,0.972655533125344,"Greater Glasgow and Clyde","S08000031"
"42",201801,"S92000003","S08000031","G107H","Emergency Department",7336,5648,1688,77,7336,5648,1688,77,NA,257,3.5,67,NA,0.9,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,76.9901853871319,23.009814612868,3.50327153762268,0.913304252998909,"Greater Glasgow and Clyde","S08000031"
"43",201801,"S92000003","S08000031","G207H","Minor Injury Unit or Other",1525,1525,0,100,1525,1525,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Greater Glasgow and Clyde","S08000031"
"44",201801,"S92000003","S08000031","G306H","Minor Injury Unit or Other",2518,2517,1,100,2518,2517,1,100,NA,0,0,0,NA,0,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,99.9602859412232,0.039714058776807,0,0,"Greater Glasgow and Clyde","S08000031"
"45",201801,"S92000003","S08000031","G405H","Emergency Department",7747,6137,1610,79.2,7747,6137,1610,79.2,NA,297,3.8,67,NA,0.9,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,79.217761714212,20.782238285788,3.8337420937137,0.864850910029689,"Greater Glasgow and Clyde","S08000031"
"46",201801,"S92000003","S08000031","G513H","Emergency Department",4769,4634,135,97.2,4769,4634,135,97.2,NA,1,0,0,NA,0,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,97.1692178653806,2.83078213461942,0.0209687565527364,0,"Greater Glasgow and Clyde","S08000031"
"47",201801,"S92000003","S08000031","G516H","Minor Injury Unit or Other",567,567,0,100,567,567,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Greater Glasgow and Clyde","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Greater Glasgow and Clyde","S08000031"
"48",201801,"S92000003","S08000022","C106H","Minor Injury Unit or Other",665,664,1,99.8,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,99.8496240601504,0.150375939849624,NA,NA,"Highland","S08000022"
"49",201801,"S92000003","S08000022","C108H","Minor Injury Unit or Other",108,108,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"50",201801,"S92000003","S08000022","C113H","Minor Injury Unit or Other",296,285,11,96.3,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,96.2837837837838,3.71621621621622,NA,NA,"Highland","S08000022"
"51",201801,"S92000003","S08000022","C121H","Emergency Department",590,572,18,96.9,590,572,18,96.9,NA,0,0,0,NA,0,NA,2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,96.9491525423729,3.05084745762712,0,0,"Highland","S08000022"
"52",201801,"S92000003","S08000022","C122H","Minor Injury Unit or Other",435,425,10,97.7,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,97.7011494252874,2.29885057471264,NA,NA,"Highland","S08000022"
"53",201801,"S92000003","S08000022","H101H","Minor Injury Unit or Other",155,154,1,99.4,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,99.3548387096774,0.645161290322581,NA,NA,"Highland","S08000022"
"54",201801,"S92000003","S08000022","H103H","Emergency Department",583,566,17,97.1,583,566,17,97.1,NA,0,0,0,NA,0,NA,2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,97.0840480274443,2.91595197255575,0,0,"Highland","S08000022"
"55",201801,"S92000003","S08000022","H106H","Minor Injury Unit or Other",34,34,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"56",201801,"S92000003","S08000022","H202H","Emergency Department",2763,2491,272,90.2,2763,2491,272,90.2,NA,17,0.6,0,NA,0,NA,2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,90.1556279406442,9.84437205935577,0.615273253709736,0,"Highland","S08000022"
"57",201801,"S92000003","S08000022","H208H","Minor Injury Unit or Other",332,332,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"58",201801,"S92000003","S08000022","H210H","Minor Injury Unit or Other",42,42,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"59",201801,"S92000003","S08000022","H212H","Emergency Department",663,633,30,95.5,663,633,30,95.5,NA,1,0.2,0,NA,0,NA,2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,95.4751131221719,4.52488687782805,0.150829562594268,0,"Highland","S08000022"
"60",201801,"S92000003","S08000022","H214H","Minor Injury Unit or Other",362,362,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"61",201801,"S92000003","S08000022","H215H","Minor Injury Unit or Other",187,185,2,98.9,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,98.9304812834225,1.06951871657754,NA,NA,"Highland","S08000022"
"62",201801,"S92000003","S08000022","H217H","Minor Injury Unit or Other",51,51,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"63",201801,"S92000003","S08000022","H219H","Minor Injury Unit or Other",123,123,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"64",201801,"S92000003","S08000022","H224H","Minor Injury Unit or Other",334,320,14,95.8,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,95.8083832335329,4.19161676646707,NA,NA,"Highland","S08000022"
"65",201801,"S92000003","S08000022","H227B","Minor Injury Unit or Other",145,145,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"66",201801,"S92000003","S08000022","H227H","Minor Injury Unit or Other",69,69,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Highland","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Highland","S08000022"
"67",201801,"S92000003","S08000032","L106H","Emergency Department",5421,5032,389,92.8,5421,5032,389,92.8,NA,24,0.4,3,NA,0.1,NA,2018-01-01,"Lanarkshire","2018 Q1",2018,1,"Winter",FALSE,92.8242021767202,7.17579782327984,0.442722744881018,0.0553403431101273,"Lanarkshire","S08000032"
"68",201801,"S92000003","S08000032","L206H","Minor Injury Unit or Other",56,56,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Lanarkshire","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Lanarkshire","S08000032"
"69",201801,"S92000003","S08000032","L207H","Minor Injury Unit or Other",55,55,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Lanarkshire","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Lanarkshire","S08000032"
"70",201801,"S92000003","S08000032","L302H","Emergency Department",4992,3998,994,80.1,4992,3998,994,80.1,NA,217,4.3,95,NA,1.9,NA,2018-01-01,"Lanarkshire","2018 Q1",2018,1,"Winter",FALSE,80.088141025641,19.911858974359,4.34695512820513,1.90304487179487,"Lanarkshire","S08000032"
"71",201801,"S92000003","S08000032","L308H","Emergency Department",5622,4938,684,87.8,5622,4938,684,87.8,NA,108,1.9,26,NA,0.5,NA,2018-01-01,"Lanarkshire","2018 Q1",2018,1,"Winter",FALSE,87.8335112059765,12.1664887940235,1.92102454642476,0.462468872287442,"Lanarkshire","S08000032"
"72",201801,"S92000003","S08000024","S108H","Minor Injury Unit or Other",118,118,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Lothian","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Lothian","S08000024"
"73",201801,"S92000003","S08000024","S116H","Minor Injury Unit or Other",4029,2997,1032,74.4,4029,2997,1032,74.4,NA,345,8.6,202,NA,5,NA,2018-01-01,"Lothian","2018 Q1",2018,1,"Winter",FALSE,74.385703648548,25.614296351452,8.56291883842144,5.01365103003227,"Lothian","S08000024"
"74",201801,"S92000003","S08000024","S308H","Emergency Department",4374,3665,709,83.8,4374,3665,709,83.8,NA,117,2.7,31,NA,0.7,NA,2018-01-01,"Lothian","2018 Q1",2018,1,"Winter",FALSE,83.790580704161,16.209419295839,2.67489711934156,0.708733424782807,"Lothian","S08000024"
"75",201801,"S92000003","S08000024","S314H","Emergency Department",9587,6883,2704,71.8,9587,6883,2704,71.8,NA,447,4.7,151,NA,1.6,NA,2018-01-01,"Lothian","2018 Q1",2018,1,"Winter",FALSE,71.7951392510691,28.2048607489308,4.66256388859914,1.57504954626056,"Lothian","S08000024"
"76",201801,"S92000003","S08000024","S319H","Emergency Department",3812,3715,97,97.5,3812,3715,97,97.5,NA,0,0,0,NA,0,NA,2018-01-01,"Lothian","2018 Q1",2018,1,"Winter",FALSE,97.4554039874082,2.54459601259182,0,0,"Lothian","S08000024"
"77",201801,"S92000003","S08000025","R103H","Emergency Department",454,445,9,98,454,445,9,98,NA,0,0,0,NA,0,NA,2018-01-01,"Orkney","2018 Q1",2018,1,"Winter",FALSE,98.0176211453744,1.98237885462555,0,0,"Orkney","S08000025"
"78",201801,"S92000003","S08000026","Z102H","Emergency Department",605,583,22,96.4,605,583,22,96.4,NA,1,0.2,0,NA,0,NA,2018-01-01,"Shetland","2018 Q1",2018,1,"Winter",FALSE,96.3636363636364,3.63636363636364,0.165289256198347,0,"Shetland","S08000026"
"79",201801,"S92000003","S08000030","T101H","Emergency Department",3860,3663,197,94.9,3860,3663,197,94.9,NA,18,0.5,2,NA,0.1,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,94.8963730569948,5.10362694300518,0.466321243523316,0.0518134715025907,"Tayside","S08000030"
"80",201801,"S92000003","S08000030","T202H","Emergency Department",1835,1774,61,96.7,1835,1774,61,96.7,NA,1,0.1,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,96.6757493188011,3.32425068119891,0.0544959128065395,0,"Tayside","S08000030"
