_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
1,2017Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",61,"",61,"",0.6630434782608695,"",0.6630434782608695,"",100,""
2,2017Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",285,"",285,"",3.097826086956522,"",3.097826086956522,"",100,""
3,2017Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",346,"",346,"",3.760869565217391,"",3.760869565217391,"",100,""
4,2018Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",77,"",77,"",0.8555555555555555,"",0.8555555555555555,"",100,""
5,2018Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",139,"",139,"",1.5444444444444445,"",1.5444444444444445,"",100,""
6,2018Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",216,"",216,"",2.4,"",2.4,"",100,""
7,2018Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",58,"",58,"",0.6373626373626373,"",0.6373626373626373,"",100,""
8,2018Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",196,"",196,"",2.1538461538461537,"",2.1538461538461537,"",100,""
9,2018Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",254,"",254,"",2.791208791208791,"",2.791208791208791,"",100,""
10,2018Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",52,"",52,"",0.5652173913043478,"",0.5652173913043478,"",100,""
11,2018Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",168,"",168,"",1.826086956521739,"",1.826086956521739,"",100,""
12,2018Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",220,"",220,"",2.391304347826087,"",2.391304347826087,"",100,""
13,2018Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",110,"",110,"",1.1956521739130437,"",1.1956521739130437,"",100,""
14,2018Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",152,"",152,"",1.6521739130434785,"",1.6521739130434785,"",100,""
15,2018Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",262,"",262,"",2.847826086956522,"",2.847826086956522,"",100,""
16,2019Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",128,"",128,"",1.4222222222222225,"",1.4222222222222225,"",100,""
17,2019Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",150,"",150,"",1.6666666666666667,"",1.6666666666666667,"",100,""
18,2019Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",278,"",278,"",3.088888888888889,"",3.088888888888889,"",100,""
19,2019Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",28,"",28,"",0.3076923076923077,"",0.3076923076923077,"",100,""
20,2019Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",131,"",131,"",1.4395604395604396,"",1.4395604395604396,"",100,""
21,2019Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",159,"",159,"",1.7472527472527473,"",1.7472527472527473,"",100,""
22,2019Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",58,"",58,"",0.6304347826086957,"",0.6304347826086957,"",100,""
23,2019Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",68,"",68,"",0.7391304347826086,"",0.7391304347826086,"",100,""
24,2019Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",126,"",126,"",1.3695652173913044,"",1.3695652173913044,"",100,""
25,2019Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",41,"",41,"",0.44565217391304346,"",0.44565217391304346,"",100,""
26,2019Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",60,"",60,"",0.6521739130434783,"",0.6521739130434783,"",100,""
27,2019Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",101,"",101,"",1.0978260869565215,"",1.0978260869565215,"",100,""
28,2020Q1,"",S08000015,"",A101H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.01098901098901099,"",0.01098901098901099,"",100,""
29,2020Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",23,"",23,"",0.25274725274725274,"",0.25274725274725274,"",100,""
30,2020Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",25,"",25,"",0.27472527472527475,"",0.27472527472527475,"",100,""
31,2020Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",49,"",49,"",0.5384615384615384,"",0.5384615384615384,"",100,""
32,2020Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",47,"",47,"",0.5164835164835165,"",0.5164835164835165,"",100,""
33,2020Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",9,"",9,"",0.0989010989010989,"",0.0989010989010989,"",100,""
34,2020Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",56,"",56,"",0.6153846153846154,"",0.6153846153846154,"",100,""
35,2020Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",21,"",21,"",0.22826086956521735,"",0.22826086956521735,"",100,""
36,2020Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
37,2020Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",49,"",49,"",0.532608695652174,"",0.532608695652174,"",100,""
38,2020Q4,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",6,"",6,"",0.06521739130434782,"",0.06521739130434782,"",100,""
39,2020Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",36,"",36,"",0.391304347826087,"",0.391304347826087,"",100,""
40,2020Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",42,"",42,"",0.4565217391304347,"",0.4565217391304347,"",100,""
41,2021Q1,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",6,"",6,"",0.06666666666666667,"",0.06666666666666667,"",100,""
42,2021Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",34,"",34,"",0.37777777777777777,"",0.37777777777777777,"",100,""
43,2021Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",40,"",40,"",0.4444444444444444,"",0.4444444444444444,"",100,""
44,2021Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",15,"",15,"",0.16483516483516483,"",0.16483516483516483,"",100,""
45,2021Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",27,"",27,"",0.2967032967032967,"",0.2967032967032967,"",100,""
46,2021Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",42,"",42,"",0.4615384615384616,"",0.4615384615384616,"",100,""
47,2021Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",18,"",18,"",0.1956521739130435,"",0.1956521739130435,"",100,""
48,2021Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",44,"",44,"",0.4782608695652174,"",0.4782608695652174,"",100,""
49,2021Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",62,"",62,"",0.6739130434782609,"",0.6739130434782609,"",100,""
50,2021Q4,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
51,2021Q4,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",28,"",28,"",0.30434782608695654,"",0.30434782608695654,"",100,""
